,Solute Ions,Ranged Ions,Total Ions,,Center_x (nm) Solute,Center_y (nm) Solute,Center_z (nm) Solute,R_gx (nm) Solute,R_gy (nm) Solute,R_gz (nm) Solute,V_Rg (nm^3) Solute,Extent_x (nm) Solute,Extent_y (nm) Solute,Extent_z (nm) Solute,V_Extent (nm^3) Solute,,Center_x (nm) Ranged,Center_y (nm) Ranged,Center_z (nm) Ranged,R_gx (nm) Ranged,R_gy (nm) Ranged,R_gz (nm) Ranged,V_Rg (nm^3) Ranged,Extent_x (nm) Ranged,Extent_y (nm) Ranged,Extent_z (nm) Ranged,V_Extent (nm^3) Ranged,,Center_x (nm) Total,Center_y (nm) Total,Center_z (nm) Total,R_gx (nm) Total,R_gy (nm) Total,R_gz (nm) Total,V_Rg (nm^3) Total,Extent_x (nm) Total,Extent_y (nm) Total,Extent_z (nm) Total,V_Extent (nm^3) Total,,Center_x (nm) Solute',Center_y (nm) Solute',Center_z (nm) Solute',R_gx (nm) Solute',R_gy (nm) Solute',R_gz (nm) Solute',V_Rg (nm^3) Solute',Extent_x (nm) Solute',Extent_y (nm) Solute',Extent_z (nm) Solute',V_Extent (nm^3) Solute',,Center_x (nm) Ranged',Center_y (nm) Ranged',Center_z (nm) Ranged',R_gx (nm) Ranged',R_gy (nm) Ranged',R_gz (nm) Ranged',V_Rg (nm^3) Ranged',Extent_x (nm) Ranged',Extent_y (nm) Ranged',Extent_z (nm) Ranged',V_Extent (nm^3) Ranged',,Center_x (nm) Total',Center_y (nm) Total',Center_z (nm) Total',R_gx (nm) Total',R_gy (nm) Total',R_gz (nm) Total',V_Rg (nm^3) Total',Extent_x (nm) Total',Extent_y (nm) Total',Extent_z (nm) Total',V_Extent (nm^3) Total',,Fe % Ranged,Mn % Ranged,Cr % Ranged,C % Ranged,Ni % Ranged,Al % Ranged,Cu % Ranged,NiH % Ranged,C2 % Ranged,C3 % Ranged,C4 % Ranged,Ca % Ranged,Ga % Ranged,Rn % Ranged,H % Ranged,,Fe % Total,Mn % Total,Cr % Total,C % Total,Ni % Total,Al % Total,Cu % Total,NiH % Total,C2 % Total,C3 % Total,C4 % Total,Ca % Total,Ga % Total,Rn % Total,H % Total,,Fe Count,Mn Count,Cr Count,C Count,Ni Count,Al Count,Cu Count,NiH Count,C2 Count,C3 Count,C4 Count,Ca Count,Ga Count,Rn Count,H Count
Cluster 102,1644,1645,1781,,-20.9664,-14.0941,48.4280,1.0139,0.9743,0.8652,3.5798,2.2234,2.2725,1.7970,38.0327,,-20.9672,-14.0945,48.4283,1.0142,0.9742,0.8650,3.5797,2.2242,2.2729,1.7967,38.0477,,-20.9678,-14.0854,48.4237,1.0067,0.9807,0.8629,3.5685,2.2248,2.2637,1.8152,38.2926,,-20.9664,-14.0941,48.4280,0.8196,1.0020,1.0247,3.5248,1.8291,2.1951,2.1202,35.6583,,-20.9672,-14.0945,48.4283,0.8193,1.0024,1.0245,3.5246,1.8295,2.1973,2.1252,35.7857,,-20.9678,-14.0854,48.4237,0.8227,0.9967,1.0245,3.5189,1.8153,2.2240,2.1210,35.8688,,18.4802%,12.4620%,1.8845%,0.5471%,27.4164%,8.3283%,14.6505%,0.0608%,0.1824%,0.4255%,0.0608%,0.0608%,0.0000%,15.4407%,0.0000%,,17.0691%,11.5104%,1.7406%,0.5053%,25.3229%,7.6923%,13.5317%,0.0561%,0.1684%,0.3930%,0.0561%,0.0561%,0.0000%,14.2617%,0.0000%,,304,205,31,9,451,137,241,1,3,7,1,1,0,254,0
Cluster 103,1622,1623,1772,,1.2381,-13.1696,49.4142,0.9813,0.8945,0.8951,3.2910,2.2310,2.0453,2.0641,39.4515,,1.2391,-13.1701,49.4144,0.9818,0.8944,0.8948,3.2915,2.2319,2.0458,2.0639,39.4736,,1.2300,-13.1746,49.4066,0.9845,0.8931,0.8976,3.3058,2.2228,2.0682,2.0717,39.8924,,1.2381,-13.1696,49.4142,0.8578,0.8981,1.0108,3.2620,2.0553,2.1251,2.1602,39.5208,,1.2391,-13.1701,49.4144,0.8577,0.8981,1.0112,3.2626,2.0545,2.1232,2.1590,39.4491,,1.2300,-13.1746,49.4066,0.8586,0.8997,1.0129,3.2773,2.0513,2.1128,2.1623,39.2550,,21.8731%,9.7351%,2.0949%,0.4313%,24.3993%,8.0715%,16.4510%,0.1232%,0.4929%,0.2465%,0.0000%,0.0000%,0.0616%,16.0197%,0.0000%,,20.0339%,8.9165%,1.9187%,0.3950%,22.3476%,7.3928%,15.0677%,0.1129%,0.4515%,0.2257%,0.0000%,0.0000%,0.0564%,14.6727%,0.0000%,,355,158,34,7,396,131,267,2,8,4,0,0,1,260,0
Cluster 104,2289,2289,2638,,-10.3121,20.3607,50.1304,1.1458,1.0703,1.0735,5.5145,2.5797,2.4019,2.2898,59.4312,,-10.3121,20.3607,50.1304,1.1458,1.0703,1.0735,5.5145,2.5797,2.4019,2.2898,59.4312,,-10.3093,20.3663,50.1250,1.1428,1.0700,1.0702,5.4815,2.5825,2.4074,2.3133,60.2433,,-10.3121,20.3607,50.1304,1.0290,1.0754,1.1813,5.4757,2.3877,2.4110,2.5276,60.9490,,-10.3121,20.3607,50.1304,1.0290,1.0754,1.1813,5.4757,2.3877,2.4110,2.5276,60.9490,,-10.3093,20.3663,50.1250,1.0271,1.0720,1.1799,5.4415,2.3932,2.4153,2.5270,61.1846,,27.3919%,12.2324%,2.7960%,0.2621%,22.5426%,10.4849%,12.1887%,0.0437%,0.3932%,0.2621%,0.0000%,0.0000%,0.0000%,11.4024%,0.0000%,,23.7680%,10.6141%,2.4261%,0.2274%,19.5603%,9.0978%,10.5762%,0.0379%,0.3412%,0.2274%,0.0000%,0.0000%,0.0000%,9.8939%,0.0000%,,627,280,64,6,516,240,279,1,9,6,0,0,0,261,0
Cluster 105,159,159,175,,-9.0191,5.1730,49.3953,0.4027,0.3994,0.5037,0.3393,0.9968,0.9951,1.0471,4.3507,,-9.0191,5.1730,49.3953,0.4027,0.3994,0.5037,0.3393,0.9968,0.9951,1.0471,4.3507,,-9.0274,5.1817,49.4034,0.3974,0.4073,0.5055,0.3426,1.0051,1.0037,1.0390,4.3908,,-9.0191,5.1730,49.3953,0.3585,0.4155,0.5238,0.3267,0.8112,0.9734,1.0816,3.5776,,-9.0191,5.1730,49.3953,0.3585,0.4155,0.5238,0.3267,0.8112,0.9734,1.0816,3.5776,,-9.0274,5.1817,49.4034,0.3571,0.4191,0.5255,0.3294,0.7893,0.9525,1.0802,3.4015,,26.4151%,15.7233%,2.5157%,1.2579%,23.8994%,9.4340%,8.8050%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,11.9497%,0.0000%,,24.0000%,14.2857%,2.2857%,1.1429%,21.7143%,8.5714%,8.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,10.8571%,0.0000%,,42,25,4,2,38,15,14,0,0,0,0,0,0,19,0
Cluster 106,1739,1740,1998,,14.0175,11.1849,50.5754,1.0332,0.9026,1.1523,4.5012,2.4710,2.0566,2.5151,53.5374,,14.0177,11.1859,50.5754,1.0329,0.9033,1.1520,4.5024,2.4708,2.0576,2.5151,53.5603,,14.0162,11.1953,50.5795,1.0324,0.9022,1.1529,4.4985,2.4722,2.0670,2.5192,53.9249,,14.0175,11.1849,50.5754,0.8995,1.0212,1.1653,4.4839,1.9569,2.2396,2.4977,45.8526,,14.0177,11.1859,50.5754,0.9003,1.0209,1.1650,4.4851,1.9555,2.2402,2.4978,45.8345,,14.0162,11.1953,50.5795,0.8994,1.0223,1.1641,4.4836,1.9510,2.2403,2.5118,45.9872,,24.1954%,11.8966%,2.5287%,0.5172%,22.7011%,11.8966%,14.3678%,0.1149%,0.1724%,0.1724%,0.0000%,0.0575%,0.0000%,11.3793%,0.0000%,,21.0711%,10.3604%,2.2022%,0.4505%,19.7698%,10.3604%,12.5125%,0.1001%,0.1502%,0.1502%,0.0000%,0.0501%,0.0000%,9.9099%,0.0000%,,421,207,44,9,395,207,250,2,3,3,0,1,0,198,0
Cluster 107,6302,6303,6822,,-14.7456,-18.8085,52.5907,1.5127,1.8604,1.3681,16.1280,3.6799,4.0408,3.0918,192.5744,,-14.7456,-18.8085,52.5905,1.5126,1.8602,1.3681,16.1248,3.6798,4.0407,3.0919,192.5766,,-14.7389,-18.8098,52.5824,1.5120,1.8607,1.3661,16.0995,3.6732,4.0394,3.1001,192.6731,,-14.7456,-18.8085,52.5907,1.1680,1.4321,2.0508,14.3698,2.3950,3.4317,4.5533,156.7570,,-14.7456,-18.8085,52.5905,1.1680,1.4320,2.0507,14.3672,2.3949,3.4315,4.5533,156.7433,,-14.7389,-18.8098,52.5824,1.1652,1.4288,2.0532,14.3181,2.3874,3.4223,4.5574,155.9748,,19.0068%,10.7726%,1.4596%,0.4918%,28.7165%,9.2178%,12.0577%,0.0793%,0.3490%,0.2380%,0.0159%,0.0000%,0.0159%,17.5789%,0.0000%,,17.5608%,9.9531%,1.3486%,0.4544%,26.5318%,8.5166%,11.1404%,0.0733%,0.3225%,0.2199%,0.0147%,0.0000%,0.0147%,16.2416%,0.0000%,,1198,679,92,31,1810,581,760,5,22,15,1,0,1,1108,0
Cluster 108,14753,14760,15981,,-16.0047,-8.2902,59.2112,1.8477,2.6300,4.5380,92.3765,4.7850,9.7418,9.3411,1823.9108,,-16.0044,-8.2900,59.2121,1.8483,2.6297,4.5378,92.3842,4.7847,9.7420,9.3419,1823.9904,,-15.9961,-8.2856,59.2097,1.8478,2.6277,4.5296,92.1268,4.7764,9.7463,9.3396,1821.2020,,-16.0047,-8.2902,59.2112,1.3596,2.2848,4.8843,63.5540,3.9683,5.8809,9.7935,957.3671,,-16.0044,-8.2900,59.2121,1.3595,2.2852,4.8838,63.5579,3.9703,5.8813,9.7924,957.7881,,-15.9961,-8.2856,59.2097,1.3600,2.2825,4.8762,63.4036,3.9778,5.8688,9.8025,958.5489,,23.8821%,11.8767%,2.3171%,0.5014%,25.9011%,9.7696%,9.2751%,0.0271%,0.2778%,0.2642%,0.0203%,0.0203%,0.0271%,15.8401%,0.0000%,,22.0574%,10.9693%,2.1400%,0.4630%,23.9222%,9.0232%,8.5664%,0.0250%,0.2566%,0.2440%,0.0188%,0.0188%,0.0250%,14.6299%,0.0000%,,3525,1753,342,74,3823,1442,1369,4,41,39,3,3,4,2338,0
Cluster 109,1289,1290,1489,,24.2209,1.8825,50.9363,1.0494,0.9595,0.7991,3.3705,2.4795,2.1636,1.8872,42.4073,,24.2205,1.8826,50.9367,1.0491,0.9591,0.7989,3.3674,2.4799,2.1635,1.8876,42.4215,,24.2239,1.8818,50.9159,1.0435,0.9595,0.8011,3.3598,2.4765,2.2349,1.8668,43.2799,,24.2209,1.8825,50.9363,0.7768,0.9538,1.0711,3.3244,1.7232,2.1472,2.5173,39.0136,,24.2205,1.8826,50.9367,0.7767,0.9535,1.0707,3.3214,1.7238,2.1472,2.5177,39.0333,,24.2239,1.8818,50.9159,0.7795,0.9556,1.0633,3.3175,1.7404,2.1767,2.5128,39.8753,,25.8915%,11.0853%,3.1008%,0.2326%,20.4651%,10.0000%,15.8915%,0.0775%,0.2326%,0.2326%,0.0775%,0.0000%,0.0775%,12.6357%,0.0000%,,22.4312%,9.6038%,2.6864%,0.2015%,17.7300%,8.6635%,13.7676%,0.0672%,0.2015%,0.2015%,0.0672%,0.0000%,0.0672%,10.9469%,0.0000%,,334,143,40,3,264,129,205,1,3,3,1,0,1,163,0
Cluster 110,744,744,794,,-24.8273,-7.1402,51.3049,0.7523,0.7323,0.6294,1.4525,1.7791,1.6546,1.3964,17.2180,,-24.8273,-7.1402,51.3049,0.7523,0.7323,0.6294,1.4525,1.7791,1.6546,1.3964,17.2180,,-24.8259,-7.1494,51.3120,0.7503,0.7349,0.6272,1.4486,1.7777,1.6453,1.3893,17.0211,,-24.8273,-7.1402,51.3049,0.6189,0.7184,0.7741,1.4417,1.3869,1.6639,1.7885,17.2882,,-24.8273,-7.1402,51.3049,0.6189,0.7184,0.7741,1.4417,1.3869,1.6639,1.7885,17.2882,,-24.8259,-7.1494,51.3120,0.6167,0.7210,0.7722,1.4382,1.3872,1.6803,1.7824,17.4020,,21.1022%,14.1129%,2.1505%,0.4032%,24.1935%,8.7366%,12.7688%,0.0000%,0.0000%,0.1344%,0.0000%,0.0000%,0.0000%,16.3978%,0.0000%,,19.7733%,13.2242%,2.0151%,0.3778%,22.6700%,8.1864%,11.9647%,0.0000%,0.0000%,0.1259%,0.0000%,0.0000%,0.0000%,15.3652%,0.0000%,,157,105,16,3,180,65,95,0,0,1,0,0,0,122,0
Cluster 111,83,83,98,,24.3278,-3.2297,51.1835,0.4007,0.4744,0.2101,0.1673,1.0078,1.0398,0.4683,2.0556,,24.3278,-3.2297,51.1835,0.4007,0.4744,0.2101,0.1673,1.0078,1.0398,0.4683,2.0556,,24.3530,-3.2037,51.1842,0.4058,0.4677,0.2074,0.1648,0.9825,1.0452,0.4690,2.0173,,24.3278,-3.2297,51.1835,0.2051,0.3902,0.4852,0.1626,0.4274,0.9415,1.0324,1.7401,,24.3278,-3.2297,51.1835,0.2051,0.3902,0.4852,0.1626,0.4274,0.9415,1.0324,1.7401,,24.3530,-3.2037,51.1842,0.2039,0.4000,0.4742,0.1620,0.4298,0.9169,1.0090,1.6657,,33.7349%,13.2530%,0.0000%,1.2048%,16.8675%,19.2771%,7.2289%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,8.4337%,0.0000%,,28.5714%,11.2245%,0.0000%,1.0204%,14.2857%,16.3265%,6.1224%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,7.1429%,0.0000%,,28,11,0,1,14,16,6,0,0,0,0,0,0,7,0
Cluster 112,7091,7094,7946,,7.7384,2.5457,54.3634,1.9865,1.5234,1.5733,19.9442,4.5413,3.3788,3.5519,228.2926,,7.7382,2.5455,54.3633,1.9862,1.5232,1.5734,19.9389,4.5411,3.3791,3.5519,228.3014,,7.7414,2.5533,54.3567,1.9863,1.5188,1.5730,19.8778,4.5442,3.3712,3.5452,227.5003,,7.7384,2.5457,54.3634,1.2300,1.5226,2.2161,17.3844,2.7272,3.3866,4.6870,181.3274,,7.7382,2.5455,54.3633,1.2299,1.5223,2.2160,17.3792,2.7272,3.3868,4.6868,181.3358,,7.7414,2.5533,54.3567,1.2264,1.5178,2.2178,17.2929,2.7237,3.3779,4.6924,180.8369,,22.3569%,11.6577%,2.1004%,0.2678%,26.5436%,11.3758%,10.0507%,0.1128%,0.1551%,0.1410%,0.0141%,0.0141%,0.0282%,15.1818%,0.0000%,,19.9597%,10.4078%,1.8752%,0.2391%,23.6975%,10.1561%,8.9731%,0.1007%,0.1384%,0.1258%,0.0126%,0.0126%,0.0252%,13.5540%,0.0000%,,1586,827,149,19,1883,807,713,8,11,10,1,1,2,1077,0
Cluster 113,1441,1441,1623,,-5.9013,12.7689,52.4026,0.8005,2.2489,0.9864,7.4386,2.0293,4.3217,2.3727,87.1608,,-5.9013,12.7689,52.4026,0.8005,2.2489,0.9864,7.4386,2.0293,4.3217,2.3727,87.1608,,-5.9083,12.7808,52.4110,0.8023,2.2442,0.9846,7.4258,2.0223,4.3336,2.3810,87.4039,,-5.9013,12.7689,52.4026,0.6253,0.7965,2.3761,4.9574,1.4729,1.9305,4.5382,54.0521,,-5.9013,12.7689,52.4026,0.6253,0.7965,2.3761,4.9574,1.4729,1.9305,4.5382,54.0521,,-5.9083,12.7808,52.4110,0.6252,0.7979,2.3711,4.9544,1.4688,1.9262,4.5521,53.9458,,25.7460%,10.5482%,2.2207%,0.6940%,22.9702%,9.0909%,14.9202%,0.0000%,0.3470%,0.3470%,0.0000%,0.0000%,0.0000%,13.1159%,0.0000%,,22.8589%,9.3654%,1.9717%,0.6161%,20.3943%,8.0715%,13.2471%,0.0000%,0.3081%,0.3081%,0.0000%,0.0000%,0.0000%,11.6451%,0.0000%,,371,152,32,10,331,131,215,0,5,5,0,0,0,189,0
Cluster 114,6015,6022,7276,,5.6012,21.4516,54.7444,1.7873,1.4208,2.5026,26.6197,4.1684,3.3500,6.4556,377.6122,,5.6015,21.4503,54.7431,1.7867,1.4212,2.5032,26.6252,4.1687,3.3487,6.4569,377.5703,,5.6005,21.4781,54.7544,1.7878,1.4158,2.5135,26.6505,4.1754,3.3766,6.4456,380.6572,,5.6012,21.4516,54.7444,1.3107,1.7974,2.5549,25.2118,3.0196,4.1807,6.3522,335.9027,,5.6015,21.4503,54.7431,1.3107,1.7970,2.5556,25.2133,3.0205,4.1809,6.3542,336.1249,,5.6005,21.4781,54.7544,1.3078,1.7960,2.5657,25.2422,3.0151,4.1860,6.3386,335.1038,,25.0581%,10.8768%,2.5407%,0.5148%,26.8848%,12.9027%,9.4985%,0.1661%,0.3155%,0.2159%,0.0000%,0.0830%,0.0332%,10.9100%,0.0000%,,20.7394%,9.0022%,2.1028%,0.4261%,22.2512%,10.6789%,7.8615%,0.1374%,0.2611%,0.1787%,0.0000%,0.0687%,0.0275%,9.0297%,0.0000%,,1509,655,153,31,1619,777,572,10,19,13,0,5,2,657,0
Cluster 115,3637,3637,4000,,12.2442,-13.9753,53.9201,1.2476,1.2148,1.1018,6.9943,2.9218,2.8084,2.4775,85.1552,,12.2442,-13.9753,53.9201,1.2476,1.2148,1.1018,6.9943,2.9218,2.8084,2.4775,85.1552,,12.2310,-13.9625,53.9140,1.2576,1.2170,1.0999,7.0516,2.9085,2.7955,2.5776,87.7893,,12.2442,-13.9753,53.9201,1.0778,1.2201,1.2632,6.9583,2.4592,2.9570,2.8114,85.6343,,12.2442,-13.9753,53.9201,1.0778,1.2201,1.2632,6.9583,2.4592,2.9570,2.8114,85.6343,,12.2310,-13.9625,53.9140,1.0747,1.2231,1.2734,7.0115,2.4642,2.9227,2.8217,85.1273,,24.2233%,10.9706%,2.4196%,0.4949%,23.5909%,9.2384%,15.0399%,0.0825%,0.1925%,0.1925%,0.0000%,0.0000%,0.0000%,13.5551%,0.0000%,,22.0250%,9.9750%,2.2000%,0.4500%,21.4500%,8.4000%,13.6750%,0.0750%,0.1750%,0.1750%,0.0000%,0.0000%,0.0000%,12.3250%,0.0000%,,881,399,88,18,858,336,547,3,7,7,0,0,0,493,0
Cluster 116,123,123,138,,17.4160,-6.7069,52.4684,0.3677,0.3677,0.5030,0.2849,0.7577,0.7695,1.1174,2.7286,,17.4160,-6.7069,52.4684,0.3677,0.3677,0.5030,0.2849,0.7577,0.7695,1.1174,2.7286,,17.4355,-6.6939,52.4847,0.3704,0.3697,0.5064,0.2905,0.7381,0.7565,1.2414,2.9035,,17.4160,-6.7069,52.4684,0.3428,0.3622,0.5241,0.2726,0.8114,0.9374,1.1882,3.7855,,17.4160,-6.7069,52.4684,0.3428,0.3622,0.5241,0.2726,0.8114,0.9374,1.1882,3.7855,,17.4355,-6.6939,52.4847,0.3423,0.3677,0.5272,0.2780,0.8321,0.9293,1.3037,4.2227,,29.2683%,13.8211%,2.4390%,0.0000%,18.6992%,12.1951%,8.9431%,0.8130%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,13.8211%,0.0000%,,26.0870%,12.3188%,2.1739%,0.0000%,16.6667%,10.8696%,7.9710%,0.7246%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,12.3188%,0.0000%,,36,17,3,0,23,15,11,1,0,0,0,0,0,17,0
Cluster 117,321,321,390,,23.4403,13.3676,52.9899,0.5460,0.7252,0.5512,0.9142,1.2455,1.5180,1.1874,9.4036,,23.4403,13.3676,52.9899,0.5460,0.7252,0.5512,0.9142,1.2455,1.5180,1.1874,9.4036,,23.4479,13.3421,52.9682,0.5390,0.7298,0.5509,0.9076,1.2380,1.5435,1.2090,9.6769,,23.4403,13.3676,52.9899,0.5337,0.5468,0.7376,0.9016,1.2614,1.2478,1.5066,9.9330,,23.4403,13.3676,52.9899,0.5337,0.5468,0.7376,0.9016,1.2614,1.2478,1.5066,9.9330,,23.4479,13.3421,52.9682,0.5361,0.5408,0.7395,0.8979,1.2906,1.1469,1.5508,9.6152,,26.4798%,9.9688%,3.4268%,0.0000%,24.2991%,11.5265%,13.7072%,0.0000%,0.6231%,0.0000%,0.0000%,0.0000%,0.0000%,9.9688%,0.0000%,,21.7949%,8.2051%,2.8205%,0.0000%,20.0000%,9.4872%,11.2821%,0.0000%,0.5128%,0.0000%,0.0000%,0.0000%,0.0000%,8.2051%,0.0000%,,85,32,11,0,78,37,44,0,2,0,0,0,0,32,0
Cluster 118,3608,3610,3917,,4.2471,-22.0910,55.3395,1.4211,1.0239,1.1591,7.0653,3.4793,2.4141,2.6065,91.7048,,4.2472,-22.0911,55.3395,1.4213,1.0238,1.1592,7.0654,3.4795,2.4141,2.6065,91.7094,,4.2475,-22.0847,55.3324,1.4266,1.0257,1.1571,7.0922,3.4798,2.4077,2.6334,92.4208,,4.2471,-22.0910,55.3395,0.9942,1.1092,1.4809,6.8405,2.3259,2.4867,3.4064,82.5268,,4.2472,-22.0911,55.3395,0.9943,1.1090,1.4810,6.8406,2.3264,2.4861,3.4057,82.5080,,4.2475,-22.0847,55.3324,0.9945,1.1078,1.4866,6.8602,2.3298,2.4875,3.4146,82.8932,,23.1302%,12.6039%,1.9668%,0.2770%,24.7645%,9.8338%,11.8560%,0.0277%,0.1662%,0.1108%,0.0000%,0.0277%,0.0277%,15.2078%,0.0000%,,21.3173%,11.6160%,1.8126%,0.2553%,22.8236%,9.0631%,10.9267%,0.0255%,0.1532%,0.1021%,0.0000%,0.0255%,0.0255%,14.0158%,0.0000%,,835,455,71,10,894,355,428,1,6,4,0,1,1,549,0
Cluster 119,1026,1026,1103,,-4.8108,-11.3224,54.2576,0.8375,0.7965,0.7568,2.1147,1.9176,1.6757,1.7469,23.5123,,-4.8108,-11.3224,54.2576,0.8375,0.7965,0.7568,2.1147,1.9176,1.6757,1.7469,23.5123,,-4.8212,-11.3214,54.2512,0.8379,0.7940,0.7549,2.1037,1.9072,1.6747,1.7405,23.2859,,-4.8108,-11.3224,54.2576,0.7234,0.7770,0.8840,2.0815,1.6209,1.7821,2.0748,25.1044,,-4.8108,-11.3224,54.2576,0.7234,0.7770,0.8840,2.0815,1.6209,1.7821,2.0748,25.1044,,-4.8212,-11.3214,54.2512,0.7260,0.7708,0.8838,2.0718,1.6290,1.7761,2.0560,24.9170,,22.6121%,11.0136%,1.9493%,0.3899%,26.4133%,8.0897%,14.8148%,0.0000%,0.1949%,0.3899%,0.0000%,0.0000%,0.0000%,14.1326%,0.0000%,,21.0335%,10.2448%,1.8132%,0.3626%,24.5694%,7.5249%,13.7806%,0.0000%,0.1813%,0.3626%,0.0000%,0.0000%,0.0000%,13.1460%,0.0000%,,232,113,20,4,271,83,152,0,2,4,0,0,0,145,0
Cluster 120,140,140,151,,-12.8538,9.9200,53.0970,0.5241,0.4647,0.2986,0.3046,1.1093,1.0538,0.7235,3.5426,,-12.8538,9.9200,53.0970,0.5241,0.4647,0.2986,0.3046,1.1093,1.0538,0.7235,3.5426,,-12.8495,9.9167,53.0950,0.5175,0.4759,0.2964,0.3058,1.1050,1.0571,0.7255,3.5499,,-12.8538,9.9200,53.0970,0.2985,0.4356,0.5486,0.2988,0.7194,1.0106,1.2638,3.8489,,-12.8538,9.9200,53.0970,0.2985,0.4356,0.5486,0.2988,0.7194,1.0106,1.2638,3.8489,,-12.8495,9.9167,53.0950,0.2963,0.4467,0.5430,0.3010,0.7214,0.9988,1.2743,3.8460,,22.1429%,12.1429%,1.4286%,1.4286%,25.0000%,11.4286%,10.0000%,0.7143%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,15.7143%,0.0000%,,20.5298%,11.2583%,1.3245%,1.3245%,23.1788%,10.5960%,9.2715%,0.6623%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,14.5695%,0.0000%,,31,17,2,2,35,16,14,1,0,0,0,0,0,22,0
Cluster 121,9655,9666,11358,,15.5635,16.5647,57.8577,2.1702,1.8591,2.6329,44.4973,4.9098,4.3537,5.6709,507.7661,,15.5638,16.5640,57.8592,2.1700,1.8593,2.6330,44.4985,4.9094,4.3544,5.6694,507.6760,,15.5602,16.5966,57.8301,2.1666,1.8513,2.6311,44.2062,4.9130,4.3217,5.6985,506.8268,,15.5635,16.5647,57.8577,1.4431,1.4846,3.2881,29.5090,3.3107,3.3952,6.8679,323.3659,,15.5638,16.5640,57.8592,1.4428,1.4841,3.2885,29.4945,3.3109,3.3955,6.8696,323.4966,,15.5602,16.5966,57.8301,1.4381,1.4897,3.2797,29.4324,3.3229,3.3719,6.8309,320.5953,,24.1879%,12.1146%,2.4829%,0.3414%,24.3844%,12.8905%,10.3042%,0.0828%,0.1862%,0.1966%,0.0000%,0.0103%,0.1035%,12.7147%,0.0000%,,20.5846%,10.3099%,2.1130%,0.2905%,20.7519%,10.9702%,8.7691%,0.0704%,0.1585%,0.1673%,0.0000%,0.0088%,0.0880%,10.8206%,0.0000%,,2338,1171,240,33,2357,1246,996,8,18,19,0,1,10,1229,0
Cluster 122,1764,1767,1938,,-13.8107,1.6041,55.2322,1.0530,1.1309,0.8764,4.3714,2.3237,2.3608,1.9393,44.5621,,-13.8109,1.6055,55.2325,1.0529,1.1318,0.8762,4.3737,2.3239,2.3607,1.9390,44.5567,,-13.8167,1.6107,55.2334,1.0484,1.1360,0.8737,4.3589,2.3296,2.3659,1.9380,44.7430,,-13.8107,1.6041,55.2322,0.8549,1.0583,1.1423,4.3291,1.8743,2.3417,2.3993,44.1122,,-13.8109,1.6055,55.2325,0.8547,1.0587,1.1428,4.3315,1.8738,2.3363,2.4001,44.0108,,-13.8167,1.6107,55.2334,0.8502,1.0568,1.1460,4.3133,1.8780,2.3314,2.4052,44.1121,,20.3169%,11.0357%,2.3203%,0.3396%,26.3158%,8.9983%,16.2988%,0.0000%,0.3396%,0.3962%,0.0000%,0.0566%,0.1132%,13.4692%,0.0000%,,18.5243%,10.0619%,2.1156%,0.3096%,23.9938%,8.2043%,14.8607%,0.0000%,0.3096%,0.3612%,0.0000%,0.0516%,0.1032%,12.2807%,0.0000%,,359,195,41,6,465,159,288,0,6,7,0,1,2,238,0
Cluster 123,311,311,338,,-13.6977,15.7413,54.7708,0.6882,0.5705,0.5868,0.9650,1.5956,1.2780,1.2990,11.0951,,-13.6977,15.7413,54.7708,0.6882,0.5705,0.5868,0.9650,1.5956,1.2780,1.2990,11.0951,,-13.6813,15.7340,54.7631,0.6892,0.5776,0.5957,0.9933,1.6121,1.2853,1.3067,11.3407,,-13.6977,15.7413,54.7708,0.5063,0.5793,0.7426,0.9124,1.1209,1.3704,1.6152,10.3926,,-13.6977,15.7413,54.7708,0.5063,0.5793,0.7426,0.9124,1.1209,1.3704,1.6152,10.3926,,-13.6813,15.7340,54.7631,0.5145,0.5889,0.7429,0.9429,1.1064,1.3806,1.6295,10.4255,,18.9711%,15.4341%,2.5723%,0.3215%,23.7942%,9.6463%,14.4695%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,14.7910%,0.0000%,,17.4556%,14.2012%,2.3669%,0.2959%,21.8935%,8.8757%,13.3136%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,13.6095%,0.0000%,,59,48,8,1,74,30,45,0,0,0,0,0,0,46,0
